ID,Principal,Maturity,Coupon Rate,LGD,Counterparty,Number of Bonds,Industry
52346,"$4,000",9-Feb-2018,6.0%,0.526,Suntrust,40,9
55336,"$7,000",3-Sep-2019,5.0%,0.522,Bank of America,70,6
34139,"$7,000",4-Dec-2020,3.0%,0.526,Fidelity,70,8
48894,"$12,000",3-May-2021,5.0%,0.207,Deutsche Bank,120,7
33906,"$8,000",22-Mar-2019,8.0%,0.526,Suntrust,80,4
54069,"$17,000",14-May-2019,3.0%,0.207,American Express,170,6
39430,"$16,000",29-Dec-2020,6.0%,0.292,Barclays,160,3
58804,"$9,000",26-Nov-2017,6.0%,0.292,US Bancorp,90,10
32429,"$5,000",3-Dec-2019,3.0%,0.207,American Express,50,2
55575,"$8,000",27-Jul-2017,8.5%,0.287,Bank of America,80,10
60636,"$2,000",17-Nov-2019,5.5%,0.522,Goldman Sachs,20,6
51691,"$4,000",7-Feb-2019,4.0%,0.292,Banco Santander,40,6
46654,"$8,000",2-Apr-2021,6.0%,0.287,Suntrust,80,4
52090,"$8,000",3-Apr-2020,5.0%,0.522,Barclays,80,1
57964,"$4,000",6-Dec-2019,8.5%,0.287,Deutsche Bank,40,3
51933,"$11,000",17-Jul-2017,8.0%,0.526,Goldman Sachs,110,10
35901,"$3,000",25-Jan-2021,3.0%,0.287,Goldman Sachs,30,2
44171,"$4,000",27-Feb-2021,8.0%,0.292,Deutsche Bank,40,6
41048,"$11,000",31-Jul-2017,4.0%,0.522,Banco Santander,110,7
31560,"$9,000",25-Nov-2018,8.5%,0.292,US Bancorp,90,10
54401,"$10,000",10-Jun-2018,3.5%,0.292,US Bancorp,100,2
48208,"$10,000",11-Sep-2017,3.0%,0.292,Wells Fargo,100,1
45755,"$5,000",18-Jun-2019,3.5%,0.207,Wells Fargo,50,3
32889,"$8,000",28-Jul-2017,6.0%,0.522,HSBC,80,8
39236,"$8,000",8-Feb-2018,6.0%,0.292,Capital One,80,7
37951,"$7,000",26-Jan-2019,3.5%,0.287,Banco Santander,70,3
33413,"$8,000",23-Jan-2018,5.0%,0.292,Citigroup,80,10
34584,"$16,000",16-Nov-2019,7.0%,0.292,Citigroup,160,8
57405,"$3,000",22-Jul-2018,3.5%,0.207,JPMorgan Chase,30,9
44976,"$5,000",15-Oct-2018,9.0%,0.526,Citigroup,50,7
50156,"$6,000",21-Aug-2017,3.0%,0.292,Fidelity,60,2
52640,"$3,000",21-Jan-2020,9.0%,0.292,Barclays,30,9
33957,"$5,000",1-Sep-2017,7.5%,0.287,Bank of America,50,6
52486,"$3,000",14-Dec-2017,7.0%,0.526,Wells Fargo,30,8
59457,"$6,000",20-Feb-2019,5.5%,0.522,Bank of America,60,6
46132,"$4,000",25-Mar-2020,5.5%,0.287,Banco Santander,40,10
45954,"$5,000",1-Feb-2019,4.5%,0.522,Goldman Sachs,50,7
57559,"$15,000",26-Jul-2017,8.5%,0.522,Goldman Sachs,150,10
33846,"$14,000",17-Apr-2021,4.5%,0.522,Banco Santander,140,5
48958,"$5,000",27-Nov-2018,6.5%,0.292,American Express,50,9
31340,"$8,000",3-Jan-2018,7.0%,0.207,TD Bank,80,7
56309,"$8,000",30-Sep-2017,6.0%,0.287,JPMorgan Chase,80,7
51115,"$19,000",8-Sep-2018,7.5%,0.287,American Express,190,7
58326,"$7,000",12-Jan-2021,8.5%,0.292,Goldman Sachs,70,7
34526,"$2,000",27-May-2018,6.0%,0.207,Wells Fargo,20,1
56135,"$8,000",3-May-2020,5.0%,0.287,Suntrust,80,2
38004,"$8,000",18-Sep-2020,6.0%,0.287,Fidelity,80,5
31423,"$5,000",4-Apr-2021,3.5%,0.522,Citigroup,50,7
35638,"$3,000",19-Jun-2019,3.0%,0.207,Wells Fargo,30,8
55623,"$8,000",29-Jun-2019,6.0%,0.207,American Express,80,6
49479,"$11,000",27-Apr-2021,5.5%,0.207,Barclays,110,6
38126,"$4,000",24-Oct-2018,6.0%,0.287,Deutsche Bank,40,6
55658,"$2,000",23-Mar-2020,8.5%,0.207,Fidelity,20,3
31700,"$5,000",18-Jul-2018,5.0%,0.207,Banco Santander,50,5
35385,"$10,000",9-Apr-2021,5.0%,0.526,Barclays,100,9
46036,"$5,000",8-Apr-2018,5.0%,0.522,Bank of America,50,2
33222,"$19,000",30-Sep-2018,6.0%,0.287,TD Bank,190,5
49961,"$8,000",11-Aug-2019,4.5%,0.292,Barclays,80,10
56202,"$6,000",24-May-2019,4.0%,0.526,Capital One,60,5
47357,"$4,000",29-Jun-2020,6.0%,0.292,US Bancorp,40,5
58125,"$4,000",8-May-2018,8.0%,0.207,Suntrust,40,3
