ID,Healthcare,Utilities,Technology,Industrials,Financials,Consumer Goods,Basic Materials,Consumer Services,Oil & Gas,Telecommunications,Idiosyncratic
52346,0%,0%,0%,0%,0%,0%,0%,0%,35%,25%,40%
55336,0%,0%,0%,0%,0%,50%,0%,15%,0%,5%,30%
34139,35%,0%,0%,0%,5%,0%,0%,40%,0%,0%,20%
48894,0%,0%,0%,0%,0%,0%,55%,0%,0%,15%,30%
33906,0%,0%,0%,55%,0%,0%,0%,10%,0%,0%,35%
54069,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
39430,0%,0%,70%,0%,0%,15%,0%,0%,0%,0%,15%
58804,0%,0%,0%,0%,20%,0%,0%,0%,0%,35%,45%
32429,0%,50%,0%,0%,0%,0%,0%,25%,0%,0%,25%
55575,15%,0%,0%,0%,0%,0%,0%,0%,0%,35%,50%
60636,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
51691,0%,0%,0%,0%,0%,30%,30%,0%,0%,0%,40%
46654,0%,0%,0%,45%,0%,0%,5%,0%,0%,0%,50%
52090,65%,0%,0%,0%,0%,0%,0%,10%,0%,0%,25%
57964,0%,0%,30%,0%,25%,0%,0%,0%,0%,0%,45%
51933,0%,0%,0%,0%,0%,0%,0%,0%,15%,60%,25%
35901,0%,60%,0%,5%,0%,0%,0%,0%,0%,0%,35%
44171,0%,5%,0%,0%,0%,70%,0%,0%,0%,0%,25%
41048,0%,10%,0%,0%,15%,0%,60%,0%,0%,0%,15%
31560,5%,0%,0%,0%,0%,0%,0%,0%,25%,35%,35%
54401,0%,55%,0%,25%,0%,0%,0%,0%,0%,0%,20%
48208,35%,0%,0%,0%,15%,0%,0%,0%,0%,0%,50%
45755,0%,0%,45%,10%,0%,0%,0%,0%,0%,0%,45%
32889,25%,0%,0%,0%,0%,0%,0%,45%,0%,0%,30%
39236,10%,0%,0%,0%,0%,0%,40%,0%,25%,0%,25%
37951,5%,0%,50%,0%,0%,0%,0%,0%,0%,20%,25%
33413,20%,0%,0%,0%,0%,0%,0%,5%,0%,55%,20%
34584,0%,0%,0%,0%,0%,0%,20%,45%,0%,0%,35%
57405,0%,15%,0%,5%,0%,0%,0%,0%,65%,0%,15%
44976,25%,0%,0%,0%,0%,0%,40%,0%,0%,5%,30%
50156,0%,55%,0%,0%,0%,0%,0%,0%,0%,0%,45%
52640,0%,0%,20%,10%,0%,0%,0%,0%,30%,0%,40%
33957,20%,0%,0%,0%,0%,65%,0%,0%,0%,0%,15%
52486,5%,0%,0%,0%,0%,0%,0%,80%,0%,0%,15%
59457,0%,0%,25%,0%,0%,50%,0%,0%,0%,0%,25%
46132,0%,0%,0%,0%,15%,0%,0%,0%,0%,65%,20%
45954,5%,0%,0%,0%,0%,0%,40%,0%,0%,40%,15%
57559,0%,0%,0%,15%,0%,0%,0%,0%,0%,40%,45%
33846,0%,0%,0%,0%,60%,0%,0%,0%,0%,0%,40%
48958,0%,0%,0%,0%,0%,0%,0%,5%,50%,0%,45%
31340,0%,0%,0%,0%,0%,25%,55%,0%,0%,0%,20%
56309,0%,0%,30%,0%,0%,0%,35%,0%,15%,0%,20%
51115,0%,25%,0%,0%,0%,0%,55%,0%,0%,0%,20%
58326,0%,25%,0%,15%,0%,0%,45%,0%,0%,0%,15%
34526,60%,0%,0%,0%,0%,0%,0%,0%,0%,0%,40%
56135,0%,55%,5%,0%,0%,20%,0%,0%,0%,0%,20%
38004,0%,0%,0%,0%,50%,0%,0%,0%,10%,0%,40%
31423,0%,0%,0%,0%,0%,0%,75%,0%,0%,0%,25%
35638,0%,0%,0%,10%,0%,0%,0%,65%,0%,0%,25%
55623,0%,0%,0%,5%,0%,50%,15%,0%,0%,0%,30%
49479,0%,0%,0%,0%,0%,60%,0%,0%,0%,0%,40%
38126,0%,0%,0%,15%,0%,70%,0%,0%,0%,0%,15%
55658,0%,0%,50%,10%,0%,0%,0%,10%,0%,0%,30%
31700,0%,10%,15%,0%,60%,0%,0%,0%,0%,0%,15%
35385,10%,0%,0%,0%,30%,0%,0%,0%,35%,0%,25%
46036,0%,45%,0%,0%,0%,10%,25%,0%,0%,0%,20%
33222,0%,0%,0%,0%,60%,0%,10%,0%,0%,0%,30%
49961,15%,0%,0%,0%,0%,0%,0%,0%,10%,50%,25%
56202,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,50%
47357,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,50%
58125,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,50%
30857,0%,0%,0%,0%,0%,50%,15%,0%,0%,0%,35%
33721,0%,0%,65%,0%,0%,0%,0%,10%,0%,0%,25%
43146,0%,0%,0%,0%,0%,0%,0%,35%,50%,0%,15%
51532,0%,15%,45%,0%,0%,0%,0%,25%,0%,0%,15%
58589,0%,0%,0%,0%,0%,15%,0%,0%,0%,40%,45%
57183,0%,0%,0%,0%,0%,0%,0%,80%,0%,0%,20%
39252,0%,35%,15%,0%,0%,0%,0%,0%,0%,5%,45%
45496,0%,50%,0%,0%,0%,0%,0%,0%,10%,0%,40%
30300,0%,0%,0%,0%,35%,0%,0%,40%,0%,0%,25%
30303,15%,0%,10%,0%,40%,0%,0%,0%,0%,0%,35%
54035,0%,0%,15%,0%,0%,15%,0%,0%,0%,40%,30%
38241,0%,25%,0%,0%,0%,0%,0%,0%,50%,10%,15%
52254,0%,0%,0%,0%,55%,0%,0%,0%,0%,0%,45%
56394,0%,0%,0%,10%,0%,0%,0%,5%,0%,40%,45%
46232,10%,0%,0%,0%,30%,0%,0%,0%,25%,0%,35%
54189,0%,0%,0%,0%,0%,0%,0%,20%,65%,0%,15%
59370,55%,0%,0%,0%,0%,0%,0%,0%,0%,0%,45%
37880,0%,0%,0%,0%,0%,0%,10%,20%,0%,45%,25%
